1000	901	32475982620	8932002100347095210	0000	4520 Moha			green	
1001	900	32499500982	8932029862021146473	0000	Brillant_1	orange		orange	
1002	900	32474165426	8932002100350969558	0000	Brillant_2	proximus	mediumpurple
1003	900	32474160818	8932002100350969590	0000	Brillant_3	proximus	mediumpurple
1004	900	32486666520	8932030000117533240	0000	Brillant_4	telenet		turquoise
1005	900	32495501521	8932029862021146481	0000	Jambes_5	orange		orange
1006	900	32476167022	8932002100350969566	0000	Jambes_6	proximus	mediumpurple
1007	900	32474168620	8932002100350969608	0000	Jambes_7	proximus	mediumpurple
1008	900	32486666049	8932030000117533216	0000	Jambes_8	telenet		turquoise
1009	900	32495501685	8932029862021146499	0000	Charleroi_9	orange		orange
1010	900	32474160746	8932002100350969616	0000	Charleroi_10	proximus	mediumpurple
1011	900	32474167718	8932002100350969574	0000	Charleroi_11	proximus	mediumpurple
1012	900	32486666262	8932030000117533232	0000	Charleroi_12	telenet		turquoise

