cuein;cueout;resource;visitor;note
20-01-20 09:00;20-01-20 09:30;LEVP;16320;
20-01-20 09:30;20-01-20 10:15;LEVP;14544;
20-01-20 10:15;20-01-20 10:45;LEVP;13604;
20-01-20 10:45;20-01-20 11:15;LEVP;12679;
20-01-20 11:15;20-01-20 11:45;LEVP;3746;
20-01-20 11:45;20-01-20 12:15;LEVP;0;ABSCENCE
20-01-20 13:00;20-01-20 13:15;LEVP;0;ABSCENCE
20-01-20 13:15;20-01-20 13:45;LEVP;2290;
20-01-20 13:45;20-01-20 14:15;LEVP;10356;
20-01-20 14:00;20-01-20 15:00;DJP;13531;
20-01-20 14:15;20-01-20 15:00;LEVP;12295;
20-01-20 15:00;20-01-20 15:30;DJP;15794;
20-01-20 15:00;20-01-20 15:45;LEVP;13801;
20-01-20 15:30;20-01-20 16:00;DJP;10553;
20-01-20 16:00;20-01-20 16:30;DJP;16297;
20-01-20 16:15;20-01-20 17:00;LEVP;12144;
20-01-20 16:30;20-01-20 17:00;DJP;15244;
20-01-20 17:00;20-01-20 17:30;LEVP;16142;
20-01-20 17:15;20-01-20 17:45;DJP;14736;
20-01-20 17:30;20-01-20 18:00;DJP;15830;
20-01-20 17:30;20-01-20 18:00;LEVP;0;ABSCENCE
21-01-20 08:30;21-01-20 09:15;DANA;7962;
21-01-20 09:00;21-01-20 09:45;PAA;7036;
21-01-20 09:15;21-01-20 09:45;COL;10719;
21-01-20 09:15;21-01-20 10:00;DANA;13873;
21-01-20 09:45;21-01-20 10:00;PAA;16089;
21-01-20 09:45;21-01-20 10:30;COL;15176;
21-01-20 10:00;21-01-20 11:00;PAA;16090;
21-01-20 10:00;21-01-20 10:45;DANA;11126;
21-01-20 10:30;21-01-20 11:15;COL;16182;
21-01-20 10:45;21-01-20 11:15;DANA;9136;
21-01-20 11:00;21-01-20 11:30;PAA;15228;
21-01-20 11:15;21-01-20 12:00;COL;14681;
21-01-20 11:15;21-01-20 12:00;DANA;14399;
21-01-20 11:30;21-01-20 12:00;PAA;13792;
21-01-20 12:00;21-01-20 12:30;COL;16198;
21-01-20 12:30;21-01-20 13:15;COL;16199;
21-01-20 12:30;21-01-20 13:00;PAA;12628;
21-01-20 13:00;21-01-20 13:15;DANA;13793;
21-01-20 13:00;21-01-20 14:00;COL;0;ABSCENCE
21-01-20 13:15;21-01-20 14:00;DANA;13068;
21-01-20 14:00;21-01-20 15:00;DANA;15714;
21-01-20 14:00;21-01-20 14:45;COL;15791;
21-01-20 14:45;21-01-20 15:30;COL;16042;
21-01-20 15:00;21-01-20 15:30;DANA;4278;
21-01-20 15:30;21-01-20 16:30;DANA;15912;
21-01-20 15:30;21-01-20 16:00;COL;13008;
21-01-20 16:00;21-01-20 16:15;COL;15641;
21-01-20 16:15;21-01-20 16:30;COL;13934;
21-01-20 16:30;21-01-20 17:00;DANA;16319;
21-01-20 16:30;21-01-20 16:45;COL;11012;
21-01-20 16:45;21-01-20 17:00;COL;2505;
21-01-20 17:00;21-01-20 17:45;DANA;12824;
21-01-20 17:00;21-01-20 17:30;COL;11014;
22-01-20 09:00;22-01-20 09:30;LEVP;14008;
22-01-20 09:00;22-01-20 09:15;PAA;15104;
22-01-20 09:15;22-01-20 09:30;PAA;14446;
22-01-20 09:30;22-01-20 10:30;PAA;14337;
22-01-20 09:30;22-01-20 10:30;LEVP;5400;
22-01-20 10:30;22-01-20 12:00;LEVP;14174;
22-01-20 10:30;22-01-20 11:00;PAA;10275;
22-01-20 11:30;22-01-20 11:45;PAA;15118;
22-01-20 11:45;22-01-20 12:00;PAA;9959;
22-01-20 12:00;22-01-20 12:15;PAA;15199;
22-01-20 12:15;22-01-20 12:30;PAA;10704;
22-01-20 13:00;22-01-20 13:15;LEVP;11355;
22-01-20 13:15;22-01-20 13:30;LEVP;15389;
22-01-20 13:30;22-01-20 14:00;PAA;14252;
22-01-20 13:30;22-01-20 14:00;LEVP;9277;
22-01-20 14:00;22-01-20 14:30;PAA;13951;
22-01-20 14:00;22-01-20 14:30;LEVP;11018;
22-01-20 14:30;22-01-20 15:00;PAA;15220;
22-01-20 14:30;22-01-20 14:45;LEVP;11969;
22-01-20 14:45;22-01-20 15:00;LEVP;16058;
22-01-20 15:00;22-01-20 15:30;PAA;14901;
22-01-20 15:00;22-01-20 15:15;LEVP;0;ABSCENCE
22-01-20 15:15;22-01-20 15:30;LEVP;12768;
22-01-20 15:30;22-01-20 16:00;PAA;14547;
22-01-20 15:30;22-01-20 15:45;LEVP;14123;
22-01-20 15:45;22-01-20 16:00;LEVP;12235;
22-01-20 16:00;22-01-20 16:30;PAA;14842;
22-01-20 16:00;22-01-20 16:15;LEVP;10949;
22-01-20 16:15;22-01-20 16:22;LEVP;14397;
22-01-20 16:30;22-01-20 17:00;PAA;6667;
22-01-20 16:30;22-01-20 16:37;LEVP;0;ABSCENCE
22-01-20 16:45;22-01-20 17:00;PAA;10949;
22-01-20 16:45;22-01-20 16:52;LEVP;16202;
