"id","groupId","resourceType","resourceId","archived"
"23682139","18129439","3","7517389","1"
"23684874","18131746","3","7778546","1"
"23707652","18148739","3","7778419","1"
"23714301","18153746","3","6148337","1"
"23730067","18165748","3","7780472","1"
"23732488","18167610","3","6147803","1"
"23737051","18171397","3","6145801","1"
"23737701","18172122","3","6141077","1"
"23759677","18187904","3","6142256","1"
"23777295","18129911","3","7778337","1"
"23777333","18186383","3","6144401","1"
"23778032","18182597","3","6144777","1"
"23781883","18203803","3","7797988","1"
"23781999","18203860","3","7797998","1"
"23795809","18214020","3","7799162","1"
"23796893","18214942","3","7792215","1"
"23805736","18221108","3","6142465","1"
"23815066","18227822","3","6151053","1"
"23823647","18165828","3","6141850","1"
"23824797","18235413","3","6147009","1"
"23825784","18236330","3","7802015","1"
"23833500","18131718","3","7778542","1"
"23833749","18235759","3","6151265","1"
"23834344","18242428","3","6141221","1"
"23834592","18226841","3","7800912","1"
"23837752","18226046","3","6145078","1"
"23838508","18245253","3","7803270","1"
"23838827","18129078","3","7778266","1"
"23839758","18194652","3","7795589","1"
"23840624","18246776","3","6142290","1"
"23841265","18136913","3","7779198","1"
"23845154","18250198","3","6143369","1"
"23858730","18129599","3","7778312","1"
"23864185","18265012","3","6145281","1"
"23867798","18267665","3","7792761","1"
"23868464","18268144","3","7811101","1"
"23873054","18166069","3","7791748","1"
"23873059","18130041","3","6143301","1"
"23873107","18187531","3","7780489","1"
"23873109","18241195","3","7802641","1"
"23873111","18149020","3","6151015","1"
"23873126","18179132","3","6144532","1"
"23873164","18241680","3","6144301","1"
"23873641","18272245","3","6144488","1"
"23875132","18130853","3","7778379","1"
"23902148","18294063","3","6145078","1"
"24008820","18371255","3","6147176","1"
"24012435","18374071","3","7825349","1"
"24012446","18374031","3","7825349","1"
"24101847","18354909","3","7822615","1"
"24122866","18301844","3","6142078","1"
"24413423","18370816","3","7816418","1"
"24629133","18614764","3","6148251","1"
"24950690","18405275","3","7798745","1"
"24951536","18456433","3","6150248","1"
"24953710","18939726","3","6148361","1"
"24961854","18960656","3","6143081","1"
"24964294","18789340","3","6148337","1"
"24964472","18409704","3","6150477","1"
"24980388","18581921","3","6148155","1"
"24985301","18429748","3","7834112","1"
"24998241","18791420","3","6143595","1"
"25001541","18369907","3","6149435","1"
"25008364","18510400","3","6141340","1"
"25009880","18375120","3","7825498","1"
"25009896","18375112","3","7825498","1"
"25015652","18961372","3","6149548","1"
"25033811","18827694","3","6146097","1"
"25034757","18796174","3","7795589","1"
"25035135","18371695","3","6149294","1"
"25036002","18369116","3","7791634","1"
"25059569","18827115","3","7963042","1"
"25106976","18563234","3","7855547","1"
"25123250","18827127","3","7963042","1"
"25132642","18564547","3","7855714","1"
"25134464","19123139","3","8022824","1"
"25135994","18374240","3","7802977","1"
"25139002","19207752","3","6150989","1"
"25139617","18375017","3","7825479","1"
"25141181","18370516","3","7798578","1"
"25141252","18432259","3","7808060","1"
"25195945","18818211","3","6142761","1"
"25228477","19108896","3","6145117","1"
"25228478","18818181","3","6142761","1"
"25251510","18795985","3","6145281","1"
"25252313","18868470","3","6144796","1"
"25253417","19243512","3","8063426","1"
