"id","groupId","resourceType","resourceId","archived"
"29651562","18071727","2","15976","1"
"29651564","18071729","2","15976","1"
"29749079","18129439","2","15976","1"
"29752524","18131746","2","15976","1"
"29781124","18148739","2","15976","1"
"29789394","18153746","2","15976","1"
"29808509","18165748","2","15976","1"
"29811480","18167610","2","15976","1"
"29817399","18171397","2","15976","1"
"29818567","18172122","2","15976","1"
"29845099","18187904","2","15976","1"
"29866573","18129911","2","15976","1"
"29866624","18186383","2","15976","1"
"29867476","18182597","2","15976","1"
"29872235","18203803","2","15976","1"
"29872383","18203860","2","15976","1"
"29889480","18214020","2","15976","1"
"29890831","18214942","2","15976","1"
"29901509","18221108","2","15976","1"
"29912918","18227822","2","15976","1"
"29924177","18165828","2","15976","1"
"29925526","18235413","2","15976","1"
"29926899","18236330","2","15976","1"
"29936336","18131718","2","15976","1"
"29936723","18235759","2","15976","1"
"29937504","18242428","2","15976","1"
"29937843","18226841","2","15976","1"
"29941554","18226046","2","15976","1"
"29942471","18245253","2","15976","1"
"29942874","18129078","2","15976","1"
"29944000","18194652","2","15976","1"
"29945069","18246776","2","15976","1"
"29945858","18136913","2","15976","1"
"29951030","18250198","2","15976","1"
"29966860","18129599","2","15976","1"
"29973710","18265012","2","15976","1"
"29977981","18267665","2","15976","1"
"29978848","18268144","2","15976","1"
"29984775","18166069","2","15976","1"
"29984783","18130041","2","15976","1"
"29984848","18187531","2","15976","1"
"29984852","18241195","2","15976","1"
"29984857","18149020","2","15976","1"
"29984882","18179132","2","15976","1"
"29984947","18241680","2","15976","1"
"29984986","18271895","2","15976","1"
"29985567","18272245","2","15976","1"
"29987572","18130853","2","15976","1"
"29990723","18275424","2","15976","1"
"29990733","18275434","2","15976","1"
"29990745","18275445","2","15976","1"
"29990756","18275456","2","15976","1"
"29990767","18275467","2","15976","1"
"29990776","18275476","2","15976","1"
"29990800","18275495","2","15976","1"
"29990801","18275496","2","15976","1"
"30021458","18294063","2","15976","1"
"30153805","18371255","2","15976","1"
"30158290","18374071","2","15976","1"
"30158302","18374031","2","15976","1"
"30270272","18354909","2","15976","1"
"30295569","18301844","2","15976","1"
"30657530","18370816","2","15976","1"
"30924752","18614764","2","15976","1"
"31322876","18405275","2","15976","1"
"31324128","18456433","2","15976","1"
"31326936","18939726","2","15976","1"
"31337587","18960656","2","15976","1"
"31340533","18789340","2","15976","1"
"31340756","18409704","2","15976","1"
"31360719","18581921","2","15976","1"
"31366841","18429748","2","15976","1"
"31382668","18791420","2","15976","1"
"31386785","18369907","2","15976","1"
"31394921","18510400","2","15976","1"
"31396770","18375120","2","15976","1"
"31396793","18375112","2","15976","1"
"31404012","18961372","2","15976","1"
"31426988","18827694","2","15976","1"
"31428289","18796174","2","15976","1"
"31428802","18371695","2","15976","1"
"31429853","18369116","2","15976","1"
"31459763","18827115","2","15976","1"
"31519052","18563234","2","15976","1"
"31539395","18827127","2","15976","1"
"31550589","18564547","2","15976","1"
