"id","groupId","workCodeId","visitorId","checklist","archived"
"9594467","18129439","25938","7517389","","1"
"9595864","18131746","26721","7778546","","1"
"9607930","18148739","26751","7778419","","1"
"9611631","18153746","26751","6148337","","1"
"9620931","18167610","25588","6147803","","1"
"9624136","18171397","26731","6145801","","1"
"9636564","18187904","26675","6142256","","1"
"9645114","18129911","25938","7778337","","1"
"9645137","18186383","26675","6144401","","1"
"9645503","18182597","26751","6144777","","1"
"9647632","18203803","26751","7797988","","1"
"9647696","18203860","28457","7797998","","1"
"9654326","18214020","25588","7799162","","1"
"9654841","18214942","25938","7792215","","1"
"9659984","18221108","26729","6142465","","1"
"9664793","18227822","26689","6151053","","1"
"9669416","18165828","26727","6141850","","1"
"9670058","18235413","26730","6147009","","1"
"9670588","18236330","26675","7802015","","1"
"9674765","18131718","26730","7778542","","1"
"9674950","18235759","28456","6151265","","1"
"9675309","18242428","25445","6141221","","1"
"9675463","18226841","26675","7800912","","1"
"9676922","18226046","26754","6145078","","1"
"9677349","18245253","25588","7803270","","1"
"9677524","18129078","25587","7778266","","1"
"9677947","18194652","25957","7795589","","1"
"9678416","18246776","28457","6142290","","1"
"9678745","18136913","26721","7779198","","1"
"9686252","18129599","25587","7778312","","1"
"9689382","18265012","25589","6145281","","1"
"9691092","18267665","26728","7792761","","1"
"9691413","18268144","25957","7811101","","1"
"9694012","18166069","25588","7791748","","1"
"9694042","18187531","28456","7780489","","1"
"9694045","18149020","26728","6151015","","1"
"9694056","18179132","25587","6144532","","1"
"9694079","18241680","26675","6144301","","1"
"9694401","18272245","26752","6144488","","1"
"9695462","18130853","25588","7778379","","1"
"9710039","18294063","26754","6145078","","1"
"9770480","18374071","26754","7825349","","1"
"9770488","18374031","28463","7825349","","1"
"9989792","18370816","26676","7816418","","1"
"10285500","18456433","25415","6150248","","1"
"10286652","18939726","25556","6148361","","1"
"10291269","18960656","26754","6143081","","1"
"10292699","18789340","26751","6148337","","1"
"10292804","18409704","28456","6150477","","1"
"10301769","18581921","26751","6148155","","1"
"10304563","18429748","28462","7834112","","1"
"10311726","18791420","25958","6143595","","1"
"10313758","18369907","26675","6149435","","1"
"10317289","18510400","26730","6141340","","1"
"10318245","18375120","26675","7825498","","1"
"10318259","18375112","25417","7825498","","1"
"10321620","18961372","25957","6149548","","1"
"10331651","18827694","26675","6146097","","1"
"10332177","18796174","25957","7795589","","1"
"10332443","18371695","26675","6149294","","1"
"10333053","18369116","28462","7791634","","1"
"10346018","18827115","25938","7963042","","1"
"10371406","18563234","25938","7855547","","1"
"10385726","18564547","26728","7855714","","1"
"10388063","18374240","26675","7802977","","1"
"10389794","19207752","25923","6150989","","1"
"10390311","18375017","28457","7825479","","1"
"10391638","18370516","28457","7798578","","1"
"10391684","18432259","26712","7808060","","1"
"10421728","18818211","25957","6142761","","1"
"10439588","19108896","25943","6145117","","1"
"10439589","18818181","25548","6142761","","1"
"10453390","18868470","26675","6144796","","1"
"10453855","19243512","25941","8063426","","1"
"10462687","18716364","25936","6149076","","1"
"10467420","18904856","26753","7975026","","1"
"10467436","18371706","26675","6149294","","1"
"10470448","18546609","25433","6141093","","1"
"10470452","18408798","26675","7830459","","1"
"10471038","18432099","26675","6151121","","1"
"10471150","18371193","26675","6142966","","1"
"10471571","18511036","26675","6144301","","1"
"10493411","18810147","28456","6148752","","1"
"10493778","18889974","25938","6149989","","1"
"10504861","19164657","26713","6151070","","1"
"10509503","19075843","26754","6149395","","1"
"10509504","19164651","26675","6151070","","1"
"10509506","19287501","25938","8066087","","1"
"10524365","19205346","26753","6145092","","1"
"10524637","18565462","28457","7855819","","1"
"10537764","19131951","25938","8029494","","1"
"10537770","18373731","25941","6142809","","1"
"10541955","18543903","25432","7853090","","1"
"10541956","19208900","25957","7791634","","1"
"10541978","18472696","26728","6145522","","1"
"10588519","19090014","25587","8023507","","1"
"10588531","19171358","25957","6150013","","1"
"10602460","18949033","26752","7975465","","1"
"10602516","19132490","25938","8029630","","1"
"10615197","18859408","26728","6149825","","1"
"10615586","19240727","26731","6144215","","1"
"10615589","19251716","26675","7778488","","1"
"10619651","18488709","28463","6150267","","1"
"10619842","19034784","26729","8016327","","1"
"10619853","18308155","28457","6146290","","1"
"10650597","19518555","25938","6142316","","1"
"10651550","19241339","25548","8029321","","1"
"10651551","19241373","25941","8029321","","1"
"10665540","19056769","25936","6146690","","1"
"10678687","18949638","25587","6143338","","1"
"10678688","19253406","26754","6150444","","1"
"10678689","19272855","28357","8068015","","1"
"10690792","18597209","25936","7872246","","1"
"10691196","18924447","25587","6148915","","1"
"10693738","19233671","25938","7966419","","1"
"10694989","19399119","25923","8091345","","1"
"10695199","18422851","25587","7814368","","1"
"10714306","18546107","26730","7853275","","1"
"10723346","19260666","28356","6150248","","1"
"10723349","19604142","25499","6148604","","1"
"10725704","19264312","25587","6144532","","1"
"10735886","19098862","25587","8024609","","1"
"10738742","19119536","26731","8027841","","1"
"10747376","19651519","25943","6150891","","1"
"10751470","19313181","28456","8047405","","1"
"10759510","19169682","28457","6144583","","1"
"10761105","19033216","26721","7778347","","1"
"10765390","19086616","26675","7991464","","1"
"10766228","19612082","25929","8065755","","1"
"10767674","18826836","28457","7962998","","1"
"10767785","19210409","25957","6150988","","1"
"10797939","19617193","25548","6142367","","1"
"10797940","19597186","28457","6143369","","1"
"10797947","19365059","26720","8085234","","1"
"10807294","19309952","26690","6148503","","1"
"10811128","19148226","25589","6144352","","1"
"10823345","18408044","28457","6144038","","1"
"10823920","19736259","25957","8074399","","1"
"10830542","19249568","26675","7807390","","1"
"10830553","19339422","25958","6143023","","1"
"10831389","19516477","26753","6149097","","1"
"10836072","19062915","25587","7778342","","1"
"10840515","18922832","26675","7826321","","1"
"10861662","19804227","26675","8020068","","1"
"10864014","19160165","26675","8047978","","1"
"10881740","19511074","26713","8092621","","1"
"10882172","19262119","25938","6141403","","1"
"10890325","19689429","25398","6145005","","1"
"10894441","19321375","25556","7801043","","1"
"10896278","19749869","28241","6146954","","1"
"10904614","18435777","26731","6141221","","1"
"10905568","18912976","25587","6146512","","1"
"10907073","19339954","28357","6148800","","1"
"10908340","19549728","26675","8110150","","1"
"10909452","19860004","25957","8149895","","1"
"10910275","19247584","26753","6149383","","1"
"10910276","19516845","26675","6148445","","1"
"10910313","19682270","25548","6149383","","1"
"10910320","19037832","25588","6145078","","1"
"10934340","19615662","28457","6143898","","1"
"10936887","19845473","26727","6146653","","1"
"10945518","19208683","26675","8057758","","1"
"10947914","19502388","26720","6146734","","1"
