"id","groupId","resourceType","resourceId","archived"
"57636574","44013547","3","11844569","0"
"60545636","44642922","3","6149122","0"
"60378433","44710891","3","8388978","0"
"60786440","45217925","3","6149716","0"
"60773075","45217944","3","6149716","0"
"60786465","45217991","3","6149716","0"
"60266960","45757434","3","12109939","0"
"60377644","45275690","3","11091534","0"
"60546425","45296807","3","6145562","0"
"60386053","45422970","3","9138568","0"
"60729449","45423161","3","6146797","0"
"59675523","45424851","3","11238653","0"
"60120737","45429459","3","11101408","0"
"60096405","45481669","3","7794618","0"
"60458541","45517339","3","12012949","0"
"60630676","45527722","3","9803441","0"
"60149603","45558182","3","6147855","0"
"60108125","45560719","3","6145281","0"
"60177825","45567148","3","8382660","0"
"60283708","45567844","3","12094301","0"
"60165770","45600621","3","8159701","0"
"59935498","45603615","3","10828060","0"
"60092404","45638683","3","6144677","0"
"60171054","45724323","3","6145801","0"
"60317154","45734858","3","12105957","0"
"59671526","45738534","3","10468788","0"
"60092948","45740245","3","6142105","0"
"60819678","45741262","3","9968646","0"
"59675622","45742407","3","9617826","0"
"60381634","45758658","3","12108742","0"
"60544867","45770064","3","12010760","0"
"60779389","45796548","3","10954638","0"
"60651945","45796901","3","9466549","0"
"60278992","45801875","3","11505336","0"
"59770195","45819405","3","11158021","0"
"60365495","45833470","3","8582348","0"
"59808626","45846822","3","10962816","0"
"59981910","45852293","3","6141506","0"
"60682825","45864717","3","10203341","0"
"59890492","45908323","3","12135014","0"
"60525704","45926880","3","6142917","0"
"60507577","45929823","3","10890726","0"
"60729192","45930650","3","11008947","0"
"60542160","45931834","3","12142244","0"
"60504542","45933786","3","12139616","0"
"60102002","45938033","3","6146147","0"
"59929989","45938376","3","10804049","0"
"60839739","45942621","3","10657190","0"
"60727586","45948814","3","6140918","0"
"60343660","45950425","3","6141414","0"
"60385081","45799178","3","12104215","0"
"60538710","45967358","3","6147342","0"
"60773080","45979427","3","10680985","0"
"60347626","45886401","3","6147989","0"
"60110053","46004262","3","12157235","0"
"60701632","46061008","3","6147732","0"
"60124229","46096678","3","12161129","0"
"60534039","46100392","3","12161464","0"
"60833282","46110689","3","11901511","0"
"60629644","46109400","3","12162242","0"
"60630620","46124319","3","10262417","0"
"60715998","46131701","3","6143935","0"
"60500775","46138523","3","8262321","0"
"60177466","45012799","3","10284547","0"
"60355378","46141547","3","6150488","0"
"60140445","46142717","3","12165472","0"
"60151651","45806145","3","6151068","0"
"60164791","46161098","3","9767624","0"
"60171861","46166263","3","11375761","0"
"60680248","46220961","3","9899615","0"
"60686314","46242321","3","6142774","0"
"60690326","46242542","3","10219435","0"
"60728055","46256686","3","8382901","0"
"60343723","46262061","3","12182965","0"
"60630762","46264695","3","10145660","0"
"60839132","46265455","3","6141028","0"
"60283467","46265874","3","9862645","0"
"60383941","46268425","3","8015991","0"
"60630713","46318897","3","11349657","0"
"60518251","46319740","3","6150488","0"
"60359092","46322239","3","6146290","0"
"60385752","45485532","3","11532791","0"
"60630952","46342370","3","6147810","0"
"60524875","46368910","3","9024552","0"
"60690000","46382514","3","6150684","0"
"60630697","46397891","3","12202550","0"
"60499702","46402025","3","12185212","0"
"60726416","46405586","3","11593004","0"
"60498891","46431767","3","12205956","0"
"60540088","46462448","3","11679003","0"
"60541160","46463385","3","6150978","0"
"60545485","46466378","3","9729635","0"
"60690318","46467646","3","9928952","0"
"60587889","46497921","3","6147321","0"
"60594905","46503104","3","10252209","0"
"60603894","46509261","3","11190274","0"
"60839427","46511466","3","11084043","0"
"60607494","46512340","3","12233774","0"
"60613118","46516318","3","12104311","0"
"60696646","46577007","3","11287408","0"
"60707115","45820428","3","12125406","0"
"60727345","46598996","3","12262586","0"
"60832528","46636818","3","9969132","0"
"60773584","46637086","3","12137685","0"
"60773626","46637130","3","6141459","0"
"60832638","46637287","3","12262987","0"
"60773965","46637424","3","12157235","0"
"60776502","46639079","3","11595292","0"
"60780684","46641898","3","11065479","0"
"60788824","46647189","3","12288335","0"
"60792741","45263219","3","10520449","0"
"60792808","45879596","3","6146483","0"
"60826718","46662994","3","10469602","0"
"60809531","46663147","3","6142774","0"
"60823552","46674284","3","6148889","0"
"60824043","46674620","3","6150684","0"
"60836136","46675002","3","12290763","0"
"60841691","46686893","3","11020254","0"
"60842351","46687552","3","9573795","0"
